id,garage_yr_blt,mas_vnr_area,year_built,year_remod/add,gr_liv_area,1st_flr_sf,total_bsmt_sf,totrms_abvgrd,garage_cars,saleprice,garage_area,overall_qual,full_bath,exterior_2nd,mas_vnr_type,garage_finish,heating_qc,exterior_1st,lot_shape,fireplace_qu,season_sold,house_style,exter_qual,foundation,bsmt_qual,kitchen_qual,neighborhood,garage_type,bsmtfin_type_1
109,1976.0,289.0,1976,2005,1479,725,725.0,6,2.0,130500,475.0,6,2,Plywood,BrkFace,RFn,Ex,HdBoard,IR1,NA,spring,2Story,Gd,CBlock,TA,Gd,Sawyer,Attchd,GLQ
544,1997.0,132.0,1996,1997,2122,913,913.0,8,2.0,220000,559.0,7,2,VinylSd,BrkFace,RFn,Ex,VinylSd,IR1,TA,spring,2Story,Gd,PConc,Gd,Gd,SawyerW,Attchd,GLQ
153,1953.0,0.0,1953,2007,1057,1057,1057.0,5,1.0,109000,246.0,5,1,VinylSd,None,Unf,TA,VinylSd,Reg,NA,winter,1Story,TA,CBlock,TA,Gd,NAmes,Detchd,GLQ
318,2007.0,0.0,2006,2007,1444,744,384.0,7,2.0,174000,400.0,5,2,VinylSd,None,Fin,Gd,VinylSd,Reg,NA,spring,2Story,TA,PConc,Gd,TA,Timber,BuiltIn,Unf
255,1957.0,0.0,1900,1993,1445,831,676.0,6,2.0,138500,484.0,6,2,Plywood,None,Unf,TA,Wd Sdng,IR1,NA,spring,1.5Fin,TA,PConc,Fa,TA,SawyerW,Detchd,Unf
138,1966.0,0.0,1966,2002,1888,1888,1517.0,6,2.0,190000,578.0,6,2,Plywood,None,Fin,Ex,BrkFace,IR1,Gd,summer,1Story,Gd,CBlock,TA,Gd,NAmes,Attchd,ALQ
2827,2005.0,82.0,2005,2006,1072,1072,547.0,5,2.0,140000,525.0,6,2,VinylSd,BrkFace,Fin,Gd,VinylSd,Reg,NA,summer,SFoyer,TA,PConc,Gd,TA,Edwards,Basment,GLQ
145,1959.0,180.0,1959,1959,1188,1188,1188.0,6,2.0,142000,531.0,5,1,Plywood,BrkFace,RFn,Fa,Plywood,IR1,NA,summer,1Story,TA,CBlock,TA,TA,NAmes,Attchd,Rec
1942,1952.0,0.0,1952,1952,924,924,924.0,6,1.0,112500,420.0,5,1,Wd Sdng,None,Unf,TA,Wd Sdng,Reg,NA,summer,1Story,TA,CBlock,TA,TA,OldTown,Detchd,Rec
1956,1969.0,192.0,1969,1969,2080,1040,1040.0,9,2.0,135000,504.0,5,1,Plywood,BrkFace,Unf,TA,Plywood,IR1,TA,fall,2Story,TA,PConc,Gd,Fa,NAmes,Attchd,Rec
1044,1971.0,232.0,1971,1971,987,483,483.0,4,1.0,85400,264.0,6,1,HdBoard,BrkFace,Unf,TA,HdBoard,Reg,NA,summer,2Story,TA,CBlock,TA,TA,BrDale,Detchd,ALQ
2752,2005.0,0.0,2005,2005,1208,1208,1208.0,6,2.0,183600,632.0,7,2,VinylSd,None,RFn,Ex,VinylSd,IR1,NA,spring,1Story,Gd,PConc,Gd,Gd,CollgCr,Attchd,GLQ
1177,2000.0,456.0,1999,2000,1607,962,960.0,7,2.0,200000,480.0,8,2,MetalSd,BrkFace,Unf,Ex,MetalSd,Reg,NA,winter,2Story,Gd,PConc,Gd,Gd,Somerst,Detchd,GLQ
